,texts,labels
0,"AP - Venus Williams reached the second round of the Swisscom Challenge with a 6-2, 6-2 victory Tuesday over Karolina Sprem, who upset her in the second round at Wimbledon.",1
1,"IBM (Quote, Chart) upped the ante against rivals HP (Quote, Chart) and Sun Microsystems (Quote, Chart) in the server market by adding three new machines based on its Power5 processor, two of which can run 254 virtual servers on a single machine.",3
2,"Last year: Meg Mallon won the season-ending tournament for her lone 2003 title, beating Annika Sorenstam by a stroke. Last week: Heather Daly-Donofrio won the Tournament of Champions in Mobile, Ala.",1
3,"Reuters - Asian investors took advantage of a\pause in climbing oil prices on Thursday to buy beaten-down\technology stocks, autos and other exporters, snapping a\nine-session losing streak by Japan's key stock index.",2
4,"WASHINGTON - The Republican-led Senate approved President Bush's choice to head the CIA, Rep. Porter Goss, over protests from some Democrats who said he has too many Republican ties for a job that requires independence...",0
5,"Reuters - A terrified-looking man, rocking back and\forth in his chair with his hands tied behind his back, appeals\to the United States to leave Iraq and spare him death. Then a\hand with a knife appears to slice off his head.",3
6,"A plan that would have allowed people without tickets to shop in stores at Pittsburgh International Airport has been postponed for at least two months, airport officials said.",3
7,"By Morag MacKinnon Of DOW JONES NEWSWIRES SYDNEY (Dow Jones)--Australia #39;s fifth-largest lender, St. George Bank Ltd. (SGB.AU) reported an 18 rise in full year net profit to A\$717 million on Monday, and separated ",2
8,There are warnings of a serious outbreak of disease in Haiti following the recent devastating floods.,0
9,"Calcutta: Shahid Afridi felt that the Saturday one-dayer between the arch-rivals will be a close one with no clear favourites. Any team can win on the day, the Pakistani allrounder said at a city hotel on Thursday.",1
10,"(Sports Network) - Detroit registered a 4-2 win over the Tampa Bay Devil Rays on Friday night at Tropicana Field. After the game, the Tigers left the state as Hurricane Frances was set to affect the area in the next few days.",1
11,"AP - Former Rep. Frank Ballance pleaded guilty Tuesday to a charge that he used a charitable foundation to bilk the government and funnel money to his law firm, church and family.",0
12,AFP - German Foreign Minister Joschka Fischer arrived in the West Bank for talks with the new Palestinian leadership ahead of a meeting later in the day with Israeli Prime Minister Ariel Sharon.,0
13," WASHINGTON (Reuters) - Fannie Mae used improper accounting  to manipulate its earnings reporting from quarter to quarter,  federal regulators said in a highly critical report that sets  the stage for the industry's second bookkeeping drama in less  than 18 months.",2
14,"Second seed Andy Roddick of the United States has easily reached the second round of the Thailand Open tennis tournament in Bangkok with a straight-set win over Arvind Parmar of Britain, 6-1, 6-4.",1
15,Seek and ye shall find: Yahoo! (nasdaq: YHOO - news - people ) and Adobe Systems (nasdaq: ADBE - news - people ) have struck a deal to put Web search capabilities into Adobe #39;s Acrobat Reader software.,2
16,"The US Air Force has awarded a \$500m, six-year contract to Microsoft Corp and Dell Corp, to update and consolidate 38 software licenses across multiple sites on more than 525,000 machines.",3
17,"AP - Yana Klochkova of Ukraine completed an Olympic sweep of the individual medleys, winning gold in the 200-meter IM Tuesday night. Amanda Beard of Irvine, Calif., made a dramatic move from fifth to second on the breaststroke portion and earned the silver in 2:11.70  #151; her fifth career Olympic medal.",1
18,"It is the nature of terrorism that every time one thinks there is a limit to the depths to which terrorists can sink, they contrive even baser atrocities.",0
19,"It #39;s the NFL midseason, and I #39;ve done a pretty good job the last couple of months pretending I don #39;t cover the sport for SI.",1
20,The photo editors of the new book &lt;i&gt;In Focus: National Geographic Greatest Portraits&lt;/i&gt; share their thoughts on what makes a great portrait and offer advice for aspiring photographers. &lt;B&gt;Interview and photo gallery.&lt;/B&gt;,3
21,"AP - After just four days on the job, Wally Backman was fired Friday as manager of the Arizona Diamondbacks because of two arrests and financial problems he kept from the team.",1
22,Prime Minister Tony Blair of Britain apologized for flawed intelligence but not for removing Saddam Hussein.,0
