texts,labels
"WASHINGTON - Glaciers in Antarctica are thinning faster than they did in the 1990s and researchers have discovered an unexpected folded section deep beneath the ice cap, findings that may indicate the ice is less stable than had been thought.",3
"PHOENIX -- An Arizona man has dropped his complaint against former heavyweight champion Mike Tyson after being reimbursed \$1,400 for damage to his car.",1
Motorsport.com. There was uproar last week when it was revealed that the provisional 2005 F1 calendar did not feature the British Grand Prix but Silverstone is not dead and buried yet.,1
"Drilling is a messy business. Drilling fluid is anything but sterile. For most drilling applications, that's no problem. But when astronauts drill for life on Mars, they need to be sure that the bacteria they find really do come from underground.",3
A US marine who turned up in Lebanon after disappearing from Iraq is charged with desertion.,0
both mental and physical -re taking a toll on the Penn State offense. Coach Joe Paterno said on Tuesday that starting quarterback Zack Mills sustained a concussion on ,1
"Open-source software is nipping more sharply at the heels of Microsoft, leading the software giant to defend itself more fiercely than ever against the insurgent rise of freely distributed, collaboratively coded programs. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",3
"Brendan Kingman #39;s sixth-inning single sent Australia to a 1-0 victory Tuesday over stunned Japan, putting the Aussies in the gold medal game.",1
"ATLANTA (Ticker) -- After being cold from the arc through four quarters, Jamal Crawford was clutch in overtime. Crawford #39;s 3-pointer with 3.3 seconds remaining helped the New York Knicks post a 110-109 victory ",1
"The first woman ever to win gold in Olympic wrestling screamed with delight, subsided into floods of tears and leapt into the arms of an astonished referee.",1
Middle East island nation Bahrain is  to spend \$1.86bn upgrading its electricity network after Monday's blackout brought the country to a standstill.,2
Flights from an Australian airport were delayed for 30 minutes Monday when a discarded sex toy began buzzing and set off a security emergency alarm.,0
"LONDON (Dow Jones/AP) -- Corus Group PLC, one of the world #39;s largest makers of steel, Thursday reported a profit for the first time in its five-year history.",2
"As many as 18 million Hotmail subscribers will be weaned Monday from a free service that lets them export e-mail to another mail client, under Microsoft MSN #39;s new spam-fighting plan.",3
" NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said  the U.S. Justice Department has closed an inquiry into  potential antitrust issues regarding a key ingredient used in  its Roundup herbicide.",2
"SAO PAULO, Brazil -- The mother of Brazilian star Robinho has been kidnapped at gunpoint as the 20-year-old Santos winger, dubbed the  quot;new Pele quot;, appeared on the brink of a transfer to Real Madrid.",1
"Boston Scientific Corp. (BSX.N: Quote, Profile, Research) on Tuesday said its quarterly net earnings rose as sales of its new cardiovascular device bolstered results despite a costly recall.",2
"The South Africa captain Graeme Smith has stirred things up before today #39;s first Test against England by claiming that Steve Harmison, the world #39;s leading bowler, is mentally vulnerable and can be disarmed for the rest of the five-Test series if the ",1
"Top-seeded Roger Federer and No. 5 Tim Henman became the first men to reach the quarterfinals at the U.S. Open on Monday, Federer on a walkover over Romanian Andrei Pavel and Henman when Germany's Nicolas Kiefer retired with a wrist injury.",1
"The Motion Picture Association of America has begun filing lawsuits nationwide against people who swap illegally copied movies over the Internet via file-sharing applications such as KaZaA, eDonkey and Grokster.",3
Banknorth Group Inc. of Portland and TD Bank Financial Group of Toronto announced a merger Thursday that gives Banknorth money to expand while setting the stage ,2
" CROMWELL, Connecticut (Reuters) - Corey Pavin posted his  best score in 14 years, firing an eight-under-par 62 to take a  commanding three-shot lead after the first round of the  inaugural \$4.2 million Buick Championship Thursday.",1
"Ford Motor Co. of Canada #39;s rivals will be watching closely today as the automaker makes a widely-anticipated announcement confirming its plans to build a \$1-billion flexible manufacturing plant in Oakville, Ont.",2
