param_annealing_alphas,param_clustering_loss_weight,param_embedding_extractor,best_matching,accuracy,ari,nmi
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 2, 1: 3, 2: 1, 3: 0}",0.622257053291536,0.3472968038504623,0.3545179874680054
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 0, 1: 3, 2: 1, 3: 2}",0.719435736677116,0.4741057212386583,0.49291918562625153
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 2, 1: 1, 2: 3, 3: 0}",0.8197492163009404,0.5942958553395945,0.5769629122963544
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 3, 2: 1, 3: 2}",0.7288401253918495,0.5072546693465582,0.5614525355597072
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 0, 2: 1, 3: 3}",0.7476489028213166,0.5309609959245128,0.5536555553613437
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 2, 1: 1, 2: 0, 3: 3}",0.7210031347962382,0.4161545425906052,0.4005285932780342
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 2, 1: 3, 2: 1, 3: 0}",0.6504702194357367,0.4420690096147981,0.4688191872535792
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 1, 1: 2, 2: 3, 3: 0}",0.6567398119122257,0.40838393822989755,0.4211853413333696
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 3, 1: 2, 2: 0, 3: 1}",0.47335423197492166,0.1469626159970107,0.1628072984626045
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 1, 2: 0, 3: 2}",0.7147335423197492,0.4577281632652053,0.4766416506510508
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 0, 1: 2, 2: 1, 3: 3}",0.47492163009404387,0.21420956500539012,0.24881867776850472
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.1,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 0, 2: 3, 3: 1}",0.5987460815047022,0.32906651198254416,0.39235291337668565
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 0, 1: 1, 2: 2, 3: 3}",0.5501567398119123,0.3386357011497419,0.3819922153553539
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 2, 1: 3, 2: 0, 3: 1}",0.725705329153605,0.5023894129861992,0.5453045559954618
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 3, 1: 1, 2: 2, 3: 0}",0.6144200626959248,0.324211086766575,0.34458009215362306
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 0, 1: 2, 2: 3, 3: 1}",0.85423197492163,0.6568839115474946,0.6264265643699585
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 2, 2: 0, 3: 1}",0.7445141065830722,0.48838561126328567,0.5031375747152148
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 0, 1: 3, 2: 2, 3: 1}",0.6974921630094044,0.4620004617896968,0.5003117374148843
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 3, 1: 2, 2: 1, 3: 0}",0.4122257053291536,0.060330022057670386,0.08221086835122296
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 1, 2: 2, 3: 0}",0.6410658307210031,0.442774430807532,0.46534986804028855
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 3, 1: 0, 2: 2, 3: 1}",0.4169278996865204,0.11519524024635053,0.15512754584613753
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 0, 2: 1, 3: 2}",0.7695924764890282,0.5199223279174868,0.5258079930212018
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 1, 1: 3, 2: 0, 3: 2}",0.7554858934169278,0.48800073433412894,0.4962125372060024
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.2,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 1, 1: 0, 2: 2, 3: 3}",0.5768025078369906,0.28730282963487297,0.3105822610683363
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 3, 1: 1, 2: 2, 3: 0}",0.8495297805642633,0.6504369636153491,0.6248879853909801
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 2, 1: 3, 2: 1, 3: 0}",0.8526645768025078,0.6544638255147511,0.6288135077722928
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 2, 1: 0, 2: 3, 3: 1}",0.6959247648902821,0.49201576527229596,0.5282660726973167
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 3, 1: 2, 2: 0, 3: 1}",0.8510971786833855,0.6521739578904618,0.6234943872398124
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 2, 1: 0, 2: 3, 3: 1}",0.6912225705329154,0.4889768694904597,0.5384871426641125
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 3, 1: 2, 2: 1, 3: 0}",0.786833855799373,0.5360606845270353,0.5325797621125262
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 3, 1: 0, 2: 2, 3: 1}",0.48746081504702193,0.18978884774633373,0.21698676250089277
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 0, 2: 1, 3: 2}",0.8150470219435737,0.5839130756114971,0.5740091493365187
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=3)","{0: 1, 1: 2, 2: 3, 3: 0}",0.3871473354231975,0.07094496915648711,0.11007162973541791
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=4)","{0: 3, 1: 2, 2: 0, 3: 1}",0.4373040752351097,0.22186208580584454,0.2501592084057437
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=5)","{0: 2, 1: 0, 2: 1, 3: 3}",0.700626959247649,0.4608389861988681,0.4762170303218353
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.3,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=6)","{0: 2, 1: 3, 2: 1, 3: 0}",0.5924764890282131,0.3314388905985289,0.3513661251339629
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=1)","{0: 3, 1: 0, 2: 2, 3: 1}",0.8150470219435737,0.5851555220781017,0.5630205793785715
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=2)","{0: 1, 1: 3, 2: 2, 3: 0}",0.8009404388714734,0.5741186434719928,0.5793234870889847
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=3)","{0: 2, 1: 0, 2: 1, 3: 3}",0.8573667711598746,0.6656860266606374,0.637220961226537
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=4)","{0: 1, 1: 2, 2: 0, 3: 3}",0.8463949843260188,0.6459101311918832,0.618896027760575
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=5)","{0: 3, 1: 0, 2: 1, 3: 2}",0.8401253918495298,0.6286770683295959,0.5988801643235684
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_cls_n_hidden_states at 0x7fb048539040>, n=6)","{0: 2, 1: 0, 2: 1, 3: 3}",0.7539184952978056,0.5184053106843107,0.5358391121042761
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=1)","{0: 0, 1: 3, 2: 1, 3: 2}",0.8322884012539185,0.6164038811258398,0.5943819783749346
[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],0.4,"functools.partial(<function concat_mean_n_hidden_states at 0x7fb0485390d0>, n=2)","{0: 3, 1: 0, 2: 1, 3: 2}",0.5376175548589341,0.3397344517280673,0.374755197018401
