,texts,labels
0,"Michael Owen is expected to be fit for Saturday #39;s World Cup qualifier game against Wales. Owen, who has been suffering from a hamstring injury, managed to train successfully on Wednesday.",1
1,"NewsFactor - Citing a need to nurture the emerging, ""revolutionary"" voice over\Internet protocol (VoIP) industry, FCC chairman Michael Powell is\calling for regulations that would grant the federal government greater\control.",3
2,"Peru will not abide by an international human rights court ruling supporting the release of Lori Berenson, a New York woman imprisoned for collaborating with Marxist guerrillas, the country's foreign minister said, according to news reports Saturday.",0
3,Crystal Robinson scored 16 points and Becky Hammon had 15 to rally the New York Liberty over the last-place San Antonio Silver Stars 64-62 on Sunday.,1
4,Shares of mail-order DVD rental company Netflix plunged Thursday after it warned that it was slashing its subscription price in anticipation of Amazon.,2
5,(Sports Network) - The Miami Heat were handed a 104-95 setback by the Denver Nuggets on Saturday night at the Pepsi Center. Carmelo Anthony scored 28 points to lead Denver.,1
6,"Reuters - The dollar steadied broadly on Friday\after a swelling U.S. trade deficit and steep oil prices pushed\it lower in the previous session, as investors awaited new data\about the U.S. economy.",2
7,"Punch Taverns, the acquisitive tenanted pubs owner, has swallowed a further 1,064 pubs, taking its estate to more than 8,000 sites.",2
8,An anonymous essay criticizing video game publisher Electronic Arts is unleashing a torrent of complaints about work practices in the game world. Missing Links,3
9,"Two major insurance companies named in the New York attorney general #39;s investigation into questionable sales practices have discontinued the use of incentive fees, which are at the center of the probe.",2
10,Michael Ovitz said on Tuesday that Walt Disney Co. would have made a string of dazzling deals and shrewd strategic moves during his brief tenure as the company #39;s president ,2
11,"British Sky Broadcasting, the pay-TV station that is partially owned by Rupert Murdoch #39;s News Corp. and run by his son James, said Friday that it added 62,000 subscribers in the three months ended Sept.",2
12,"French international midfielder Jerome Rothen, forced out of Paris St Germain #39;s 2-0 victory over Porto in the Champions League on Wednesday, will be out for two months with an ankle fracture, PSG said on their website.",1
13,"Democrat John Kerry probably would put more time and energy into world trade talks and enforcing existing agreements than pursuing bilateral deals like the Bush administration has, a campaign adviser said.",2
14,"Vodafone and EDS have deployed a global managed service for ABN AMRO Bank of the Netherlands, based on RIM #39;s BlackBerry mobile email clients.",3
15,Plus: Putting a face on technology could improve our interaction with hi-tech gadgets.,3
16,"Indonesia #39;s president-elect has finally given his victory speech, almost three weeks after the country #39;s first direct presidential poll.",0
17,"IT is official - the VHS home video format will share the fate of its one-time competitor Betamax and go the way of the dinosaur. All over the world, Video Home System - which lets people record and watch ",3
18,"Tom O #39;Brien knows a thing or two about what his Boston College Eagles face today against West Virginia.  quot;We #39;re aware that Boston College has never won a Big East game in Morgantown, quot; he said.",1
19,"Lawyers representing Mark Thatcher will appeal a court ruling ordering the son of the former British prime minister to answer questions from Equatorial Guinea on an alleged coup plot, one of his lawyers said on Thursday.",0
20,"Kidnappers of three UN workers in Afghanistan said on Wednesday the government had agreed to terms for their release, despite indications from Afghan and US officials that a compromise was not possible.",0
21,USATODAY.com - RealNetworks today is slashing the price of a digital download to 49 cents a song from 99 cents - a bold move in the war over digital music.,3
22,The plunge in US insurance stocks widened to include companies such as Aetna Inc. and Humana Inc. on concern New York Attorney General Eliot Spitzer #39;s probe of the industry will drag down profits.,2
