texts,labels
"The European Union sought consultations with the United States to determine if new US legislation abolishing contested corporate tax breaks is consistent with World Trade Organization regulations, an EU commission spokeswoman revealed.",2
"NASA #39;s \$264 million Genesis mission came to a sudden and violent end on Wednesday morning, when a capsule returning with samples of the Sun slammed into ",3
"JERUSALEM (AP) - The Israeli government on Tuesday issued bids for 1,000 new homes in Jewish West Bank settlements, in a violation of an internationally backed peace plan, but insisted the construction has the tacit approval of one of the backers, the US ...",0
"When it came down to making a decision between the Notre Dame job he had often dreamed about and what could become his dream job in Gainesville, University of Utah football ",1
"Warring parties in Sudan  #39;s Darfur region have come in for severe criticism by a respected human rights organisation. In a report released on Monday, New York-based Human Rights Watch (HRW) said security in ",0
"An Independent News writer tells of his switch from Windows to a 15-inch PowerBook,:  #147;Two months in, I have a prevailing sense of security and safety. There #146;s been not a sniff of system meltdown. The software and security updates are easy, convenient and (via broadband) fast. The sense of considerable computing power and massive processing going on is very evident, but it feels secure behind the OS X firewall and a router; and all with no need for antivirus software. #148; Aug 20",3
"JOHANNESBURG, SOUTH AFRICA - The son of Margaret Thatcher, the former British prime minister, was arrested Wednesday by South African police and charged with illegally helping to finance a failed coup in March against Equatorial Guinea #39;s authoritarian ",0
A previously unknown story and a letter ascribed to Ernest Hemingway have caused a dispute between those who want to see them published and those who don't.,0
"David Duffield, PeopleSoft founder and acting-CEO, said the firm might have considered the Oracle takeover bid more seriously if terms had been different.",3
" ROME (Reuters) - Italy's factories, trains, banks and  planes will come to a standstill for hours Tuesday as unions  stage a general strike to protest at plans for tax cuts they  say will help the rich and cost the public sector.",0
Reuters - Low-cost carrier JetBlue Airways Corp.\ on Thursday said third-quarter earnings fell 71\percent as it struggled with skyrocketing fuel prices and tough\competition.,2
"Even in the immediate afterglow of her bronze medal in the Olympic marathon in August, Deena (Drossin) Kastor was thinking of Sunday #39;s New York City Marathon.",1
"AFP - Myanmar's state media confirmed that the military regime's leader General Than Shwe would visit India, just days after the ousting of the nation's premier for alleged corruption.",0
"A grilled cheese sandwich bearing the image of the Virgin Mary has been sold for nearly 15,000 on eBay. Florida jewellery designer Diana Duyser auctioned off the ten-year-old toastie saying it was time to share her  quot;miracle quot; with the world.",3
ENGLISH Premier League champion Arsenal opened a five-point lead at the top of the table after a 4-0 thrashing of Charlton Athletic at Highbury yesterday.,1
